Ticker symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21/8/08,914208
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",6/1/09,1020569
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,"Pasadena, California",26/10/07,52988
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",1/7/15,728535
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",6/11/08,91419
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey",30/6/73,200406
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",27/8/10,833444
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",30/6/75,19617
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",24/5/13,54480
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1/3/94,91576
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,55785
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/06,879101
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/5/12,1506307
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",6/7/15,1545158
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",30/9/83,701985
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,"New York, New York",,1056239
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",1/11/04,920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",29/6/12,707549
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",4/10/05,920760
LVLT,Level 3 Communications,Telecommunication Services,Alternative Carriers,"Broomfield, Colorado",5/11/14,794323
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",27/8/07,96223
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/70,59478
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",30/6/76,59558
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",23/5/16,1065696
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",31/7/84,936468
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,60086
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29/2/84,60667
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",5/9/12,1489393
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",,36270
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",9/5/13,912242
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
MNK,Mallinckrodt Plc,Health Care,Pharmaceuticals,"Dublin, Ireland",19/8/14,1567892
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1/5/91,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1/7/11,1510295
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",31/8/87,62709
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2/7/14,916076
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",30/6/81,62996
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",18/7/08,1141391
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",31/3/82,63276
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",30/6/70,63908
MCK,McKesson Corp.,Health Care,Health Care Distributors,"San Francisco, California",,927653
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",21/12/09,1452575
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",31/10/86,64670
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",6/9/16,1037646
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",13/11/13,1530721
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",7/9/07,827054
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",27/9/94,723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",1/6/94,789019
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",2/12/16,912595
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",23/12/13,851968
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",30/6/76,24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",2/10/12,1103982
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",7/8/02,1110783
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",28/6/12,865752
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",,1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",26/9/11,1285785
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",,717423
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",23/4/04,69499
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",22/10/08,1120193
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",14/3/05,1021860
NAVI,Navient,Financials,Consumer Finance,"Newark, Delaware",1/5/14,1593538
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",25/6/99,1002047
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",20/12/10,1065280
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",30/4/89,814453
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",20/12/10,912750
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",30/6/69,1164727
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,"New York, New York",1/8/13,1564708
NWS,News Corp. Class B,Consumer Discretionary,Publishing,"New York, New York",18/9/15,1564708
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",30/6/76,753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",9/7/13,1492633
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30/11/88,320187
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",8/10/07,72207
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",31/8/86,72333
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",30/6/85,1133421
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",29/1/10,1013871
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",30/4/85,73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",30/11/01,1045810
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",27/3/09,898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",31/12/82,797468
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",,29989
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15/3/10,1039684
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",31/8/89,1341439
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",31/12/80,75362
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",30/11/85,76334
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota",11/10/05,891024
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",,723531
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",20/7/15,1633917
PNR,Pentair Ltd.,Industrials,Industrial Machinery,"Worsley, UK",1/10/12,77360
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",13/11/08,1378946
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",31/5/85,31791
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",19/12/11,1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003
PCG,PG&E Corp.,Utilities,Multi-Utilities,"San Francisco, California",,1004980
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",31/3/08,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1/5/12,1534701
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",24/9/08,1038357
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",30/4/88,713676
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/07,1037038
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",1/7/92,884905
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",6/11/09,1075531
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",22/7/02,1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",4/8/97,80661
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",17/7/03,1045609
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",22/7/02,1137774
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",,788784
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",19/8/05,1393311
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30/4/84,822416
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",15/2/13,78239
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",11/6/15,1604778
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",1/7/09,1050915
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,804328
DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",12/12/02,1022079
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",21/12/07,315852
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20/3/17,720005
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",7/4/15,726728
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",27/7/09,1087423
REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",2/3/17,910606
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",1/5/13,872589
RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",28/8/98,1281761
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",5/12/08,1060391
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",,1275283
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",5/12/00,315213
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478
COL,Rockwell Collins,Industrials,Aerospace & Defense,"Cedar Rapids, Iowa",2/7/01,1137411
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",23/12/09,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",21/12/09,745732
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",5/12/14,884887
R,Ryder System,Industrials,Trucking,"Miami, Florida",31/12/82,85961
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",15/9/08,1108524
SCG,SCANA Corp,Utilities,Multi-Utilities,"Cayce, South Carolina",2/1/09,754737
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",31/3/65,87347
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Cable & Satellite,"Cincinnati, Ohio",1/7/08,1430602
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2/7/12,1137789
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",30/6/64,89800
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,"Hamilton, Bermuda",29/7/15,832988
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",26/6/02,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",12/3/15,4127
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",20/3/15,1040971
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",30/9/82,91440
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,92122
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1/7/94,92380
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,64040
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",30/9/82,93556
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",7/10/98,791519
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois",19/11/08,861878
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764
STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",31/5/88,750556
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",25/3/03,849399
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",18/11/15,1601712
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",16/3/17,883241
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",31/12/86,96021
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",31/12/76,27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",17/10/11,1385157
TGNA,"Tegna, Inc.",Consumer Discretionary,Publishing,"McLean, Virginia",31/12/75,39899
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio",1/10/07,816761
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",27/9/07,50104
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",31/12/78,217346
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",23/9/16,711404
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",21/8/02,86312
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",21/6/00,98246
TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1105705
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30/9/85,109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",30/4/89,320335
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",2/1/08,721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",24/1/14,916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",3/6/16,1260221
RIG,Transocean,Energy,Oil & Gas Drilling,"Vernier, Switzerland",29/10/13,1451505
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",21/12/11,1526520
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,"New York, New York",1/7/13,1308161
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,"New York, New York",18/9/15,1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",7/3/16,74208
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",18/4/16,1403568
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1/5/14,1336917
UAA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",25/3/16,1336917
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",3/9/15,100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",1/7/94,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",22/7/02,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/9/14,1067701
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/9/14,352915
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1/3/94,5513
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",30/6/79,103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",12/2/07,203527
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",4/3/09,740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",1/2/06,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",8/10/15,1442145
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,"New York, New York",30/11/83,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",23/9/13,875320
VIAB,Viacom Inc.,Consumer Discretionary,Cable & Satellite,"New York, New York",,1339947
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",21/12/09,1403161
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",30/6/99,1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",31/8/82,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/79,1618921
DIS,The Walt Disney Company,Consumer Discretionary,Cable & Satellite,"Burbank, California",30/6/76,1001039
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31/10/08,783325
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",30/6/76,72971
HCN,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",30/1/09,766704
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",1/7/09,106040
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135
WRK,WestRock Company,Materials,Paper Packaging,"Richmond, Virginia",,1636023
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs,"Federal Way, Washington",,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",,865436
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/3/75,107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",5/1/16,1140536
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",14/11/08,1174922
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903
XRX,Xerox Corp.,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",8/11/99,743988
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",1/11/11,1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California",8/12/99,1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",6/10/97,1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",7/8/01,1136869
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",21/6/13,1555280